langue,pays,francais,mot_local,prononciation
Malais,Malaisie,Je ne comprends pas,Saya tidak faham,saya tidak faham
Malais,Malaisie,Parlez-vous anglais ?,Boleh cakap Inggeris?,boleh tchakap inng-gris
Malais,Malaisie,Au secours !,Tolong!,to-long
Malais,Malaisie,"Un, deux, trois",Satu dua tiga,satou doua tiga
Indonésien,Indonésie,Bonjour,Selamat pagi,se-lamat pagui
Indonésien,Indonésie,Bonsoir,Selamat malam,se-lamat malam
Indonésien,Indonésie,Au revoir,Sampai jumpa,sampaï joumpa
Indonésien,Indonésie,Oui,Ya,ya
Indonésien,Indonésie,Non,Tidak,ti-dak
Indonésien,Indonésie,Merci,Terima kasih,te-rima kassih
Indonésien,Indonésie,S'il vous plaît,Tolong,to-long
Indonésien,Indonésie,Pardon,Permisi,per-missi
Indonésien,Indonésie,Je m'appelle…,Nama saya…,nama saya
Indonésien,Indonésie,Comment ça va ?,Apa kabar?,apa kabar
Indonésien,Indonésie,Combien ça coûte ?,Berapa harganya?,berapa harganya
Indonésien,Indonésie,Où sont les toilettes ?,Di mana toilet?,di mana toïlet
Indonésien,Indonésie,Je voudrais…,Saya mau…,saya maou
Indonésien,Indonésie,"L'addition, s'il vous plaît",Minta bon,minta bonn
Indonésien,Indonésie,C'est délicieux,Enak,e-nak
Indonésien,Indonésie,De l'eau,Air,aïr
Indonésien,Indonésie,Je ne comprends pas,Saya tidak mengerti,saya tidak menng-erti
Indonésien,Indonésie,Parlez-vous anglais ?,Bisa bahasa Inggris?,bisa bahassa inng-gris
Indonésien,Indonésie,Au secours !,Tolong!,to-long
Indonésien,Indonésie,"Un, deux, trois",Satu dua tiga,satou doua tiga
