pays,plat,nom_local,description,photo_query
Chine,Nouilles fraîches étirées,拉面,"Le spectacle est dans l'assiette ET avant : le cuisinier étire la pâte à mains nues en la claquant, jusqu'à obtenir des centaines de fils parfaits. À Zhangjiajie, cherchez l'échoppe qui les fait devant vous.",hand pulled noodles chef
Hong-Kong,Dim sum,點心,"Le rituel du week-end hongkongais : des dizaines de paniers vapeur (crevettes translucides har gow, siu mai, rouleaux de riz) qu'on partage en famille autour du thé. On coche ce qu'on veut sur un carnet — les enfants adorent commander.",dim sum bamboo baskets
Hong-Kong,Egg tart,蛋撻,"La tartelette à l'œuf héritée des Portugais via Macao : pâte feuilletée, cœur de flan tremblotant, encore tiède de la boulangerie. La meilleure se mange dans la rue, en trois bouchées.",Hong Kong egg tart
Hong-Kong,Wonton noodles,雲吞麵,"Le bol signature : nouilles fines et fermes, raviolis de crevettes entières, bouillon parfumé. Les meilleures adresses n'ont que dix tabourets et une file devant.",wonton noodle soup Hong Kong
Hong-Kong,Gaufre aux œufs,雞蛋仔,"La gaufre-bulle de Hong Kong : des alvéoles croustillantes dehors, moelleuses dedans, roulées en cornet. LE goûter de rue depuis les années 1950, désormais décliné en mille parfums.",egg waffle Hong Kong street
Hong-Kong,Milk tea,港式奶茶,"Le thé au lait « bas de soie », filtré dans une chaussette de tissu (vraiment) pour le rendre ultra soyeux. Les Hongkongais en boivent 900 millions de tasses par an.",Hong Kong milk tea
Malaisie,Nasi lemak,Nasi lemak,"Le petit-déjeuner national, servi dans une feuille de bananier : riz au lait de coco, sambal (attention, ça pique), cacahuètes, anchois croustillants et œuf. Le meilleur réveil du voyage.",nasi lemak banana leaf
Malaisie,Satay,Sate,"Brochettes marinées grillées au charbon, trempées dans LA sauce cacahuète. Inventées ici (l'Indonésie n'est pas d'accord — vous départagerez), elles se dévorent par dizaines à Jalan Alor.",satay skewers grill peanut
Malaisie,Roti canai,Roti canai,"La crêpe feuilletée virevoltante : le cuisinier la fait tournoyer dans les airs comme une pizza avant de la griller. Trempée dans le curry dhal, au petit-déj ou à minuit — 1 € le spectacle ET le régal.",roti canai flipping
Malaisie,Laksa,Laksa,"La soupe de nouilles au lait de coco et curry, mi-crémeuse mi-explosive. Chaque région a la sienne et les Malaisiens en débattent comme nous du cassoulet.",laksa curry noodle soup
Malaisie,Teh tarik,Teh tarik,"Le « thé tiré » : versé de très haut d'un pichet à l'autre pour le faire mousser, dans un geste spectaculaire de barista acrobate. Boisson nationale, spectacle gratuit.",teh tarik pouring Malaysia
Indonésie,Nasi goreng,Nasi goreng,"Le riz frit national, cuisiné au wok avec sa sauce soja sucrée (kecap manis) et couronné d'un œuf au plat. Le plat que les enfants réclameront encore trois mois après le retour.",nasi goreng fried rice egg
Indonésie,Sate ayam,Sate ayam,"Les brochettes de poulet grillées au charbon de bois, nappées de sauce cacahuète, vendues par les marchands ambulants au son de leur clochette. L'odeur qui définit les soirées indonésiennes.",sate ayam Indonesian skewers
Indonésie,Rendang,Rendang,"Né à Sumatra pile où vous serez : du bœuf mijoté DES HEURES dans le lait de coco et les épices jusqu'à devenir fondant et sombre. Régulièrement élu parmi les meilleurs plats du monde.",rendang beef Sumatra
Indonésie,Gado-gado,Gado-gado,"La salade indonésienne : légumes croquants, tofu, œuf, le tout enrobé de sauce cacahuète. Son nom veut dire « mélange-mélange » — tout est dit.",gado gado Indonesian salad
Indonésie,Martabak manis,Martabak manis,"LA folie sucrée du soir : une crêpe épaisse et moelleuse pliée sur du chocolat, du fromage, des cacahuètes ou tout à la fois. Les stands n'ouvrent qu'à la nuit tombée — le dessert officiel des vacances.",martabak manis chocolate
